,population,newborn,child_mortality,poverty_percent,poverty_children,poverty_pensioners,poverty_labouring,per_capita_cash_income,real_income,formal_wage_paid,real_pay,disabled_by_age,all_disease,mental_disorder,food_disorder,disease_alco,disease_drug,gross_product,regional_prod,retail_turnover,welfare_expense,housing_constraints,housing_area_per_person,no_improvement_funds,improvement_without_complaints,group_crimes,domestic_violence,foreign_crimes,registered_crimes,crimes_severe,crimes_heavy,crimes_theft,crimes_drugs,ophans,poor_pensioner,unemployment,min_living_cost
Ненецкий автономный округ,44540.0,553.0,3.0,9.4,45.6,2.0,52.4,84147.0,101.1,92237.0,101.4,1075.0,622749.5,5033.3,15593.0,181.8,2.3,5206287.1,525911311.7,235547.0,14.4,0.4,20.9,0.0,11.199999999999998,48.0,30.0,4.0,138.0,14.0,32.0,46.0,10.0,0.19,13.0,7.4,21848.0
Нижегородская область,3144254.0,26120.0,111.0,9.4,31.7,3.8,64.5,33645.0,95.2,37601.0,102.8,78936.0,461223.1,3061.8,4649.5,44.4,7.0,497418.6,3001557919.68,278659.0,22.2,2.7,17.5,1.9,4.800000000000001,1067.0,1265.0,282.0,6372.0,309.0,1043.0,3223.0,502.0,0.12,9.4,4.1,10436.0
Новгородская область,586129.0,4574.0,23.0,13.6,40.1,1.3,58.6,26268.0,96.8,34169.0,102.4,16684.0,423454.1,2679.1,4920.8,55.2,9.4,471333.3,464736714.4,232454.0,25.3,1.2,17.6,0.0,8.399999999999999,230.0,299.0,34.0,1498.0,69.0,291.0,799.0,91.0,0.13,19.7,3.1,11320.75
Новосибирская область,2780292.0,28298.96,145.0,13.8,34.1,4.4,61.5,31563.0,99.8,41534.0,102.9,69868.0,384607.8,2701.8,4145.3,33.8,20.6,485981.4,1416021141.54,241409.0,25.4,4.5,16.3,11.399999999999999,6.7,1661.0,1075.0,363.0,6758.0,273.0,1419.0,3841.0,398.0,0.1,30.5,4.7,11905.0
Омская область,1879548.0,17477.0,65.0,13.6,38.8,5.1,56.2,27354.0,97.3,37828.0,103.7,47366.0,364580.9,1815.6,4888.8,29.9,7.7,398641.0,1868711299.02,211880.0,29.0,2.6,16.9,1.8,9.3,607.0,806.0,145.0,4768.0,213.0,915.0,2576.0,446.0,0.15,19.8,5.3,10324.75
Оренбургская область,1924578.0,18127.0,79.0,14.0,42.8,3.3,53.9,24719.0,97.7,35075.0,103.8,55970.0,384436.0,3031.5,8135.5,93.6,3.7,538971.9,1761524209.18,198494.0,26.6,3.3,19.0,9.5,9.0,487.0,1055.0,267.0,4921.0,144.0,757.0,2213.0,400.0,0.2,19.8,3.5,9690.75
Орловская область,714094.0,5394.0,36.0,12.9,41.5,8.0,50.5,26843.0,98.6,31862.0,103.7,19652.0,446661.5,2657.5,9491.800000000001,90.3,4.4,390170.2,299904810.0,223131.0,25.0,6.3,18.8,0.0,8.0,163.0,278.0,59.0,1276.0,49.0,175.0,610.0,100.0,0.26,19.5,4.0,10494.25
Пензенская область,1274062.0,9351.0,35.0,13.0,32.7,12.8,54.5,24118.0,100.4,32766.0,102.9,31592.0,373381.2,2322.2,4164.2,129.8,6.2,379820.4,586668026.6,199270.0,22.4,3.9,16.9,0.0,6.000000000000001,722.0,648.0,61.0,2858.0,104.0,597.0,1313.0,219.0,0.06,36.9,3.7,9511.75
Пермский край,2556852.0,25125.96,102.0,13.3,41.5,3.7,54.8,30215.0,95.1,41958.0,103.7,63301.0,432982.9,3642.3999999999996,5597.6,95.3,11.7,541930.2,2999280162.76,239837.0,23.0,3.1,16.0,15.299999999999999,9.1,841.0,1655.0,176.0,6813.0,429.0,1023.0,3291.0,578.0,0.09,10.7,3.4,10772.0
Приморский край,1863011.0,17408.0,95.0,13.0,49.6,4.2,46.2,37304.0,96.9,50105.0,103.1,42038.0,397122.9,2832.1000000000004,3001.4,64.1,35.5,582950.7,686661705.38,272134.0,23.5,3.1,15.7,14.8,8.399999999999999,464.0,1049.0,278.0,5518.0,280.0,1077.0,2426.0,684.0,0.31,11.0,3.3,13888.75
